date,strategy_cum_return,benchmark_cum_return
2025-08-28,-0.007138304881248003,0.0024627591204826604
2025-08-29,-0.02306994714774091,-0.00506157830427334
2025-09-01,-0.031074238851758085,-0.003439414698981569
2025-09-02,-0.03207731084894727,-0.008781672714723965
2025-09-03,-0.03212458603026436,-0.012778617003214032
2025-09-04,-0.016706549473486265,-0.0115333901118857
2025-09-05,-0.0473869059846731,-0.031030802009780256
2025-09-08,-0.05194006982966126,-0.034790298337327163
2025-09-09,-0.043084794522910475,-0.03680885066035444
2025-09-10,-0.06417762821800244,-0.03591132776727035
2025-09-11,-0.0643059752128402,-0.03650877091038762
2025-09-12,-0.07811928596570394,-0.040473523743656536
2025-09-15,-0.08107894243244063,-0.03765605325699439
2025-09-16,-0.06591607966224844,-0.025798978803315054
2025-09-17,-0.05617931287337585,-0.02292156188823513
2025-09-18,-0.05236001718999994,-0.013350431921708372
2025-09-19,-0.06424431514347462,-0.011147473278912523
2025-09-22,-0.052648872529154844,-0.009152810446802495
2025-09-23,-0.05020672605328913,-0.0004994245190197422
2025-09-24,-0.05600489907059525,-0.0021447828740468466
2025-09-25,-0.05416829665695977,-0.007391827304380372
2025-09-26,-0.06693463356882445,-0.014453369900925939
2025-09-29,-0.07294780367423481,-0.023538368326383452
2025-09-30,-0.06006042080950891,-0.011822030662880012
2025-10-01,-0.059445214292109694,-0.011057104808308127
2025-10-02,-0.04743798328052995,-0.007766315212771824
2025-10-03,-0.06479387962786409,-0.01811728143441782
2025-10-06,-0.05799249785757166,-0.01142727454512904
2025-10-07,-0.046758952678431887,0.0002857598382091098
2025-10-08,-0.0347128384443548,-0.003777175022525614
2025-10-09,-0.05676739240518236,0.001063066201092644
2025-10-10,-0.06798372915726114,-0.003097326149493207
2025-10-13,-0.05499307864294445,-0.0020214913486149566
2025-10-14,-0.03239180208855774,0.011361087866517128
2025-10-15,-0.030845057700936263,0.002597496339583616
2025-10-16,-0.007728573614428913,0.013565880439036393
2025-10-17,-0.00748437088390097,0.018990213127715094
2025-10-20,-0.0031573561510808146,0.013519218834401991
2025-10-21,-0.002671466273725387,0.009358280035281386
2025-10-22,-0.010790422370802077,-0.0028739350956997756
2025-10-23,-0.025621272874500556,-0.0036869765664763188
2025-10-24,-0.020895641447730706,-0.0016314382469010402
2025-10-27,-0.02332928718767302,-0.004629613914264641
2025-10-28,-0.009812945504861448,0.0037282037325554462
2025-10-29,-0.013872499895793533,0.009748033454396232
2025-10-30,-0.020535936220031026,0.0074275441675972775
2025-10-31,-0.026697368659704845,0.0057736035683566556
2025-11-03,-0.03453247893959466,0.0027352311878070523
2025-11-04,-0.03740709667208597,0.0028311514684342676
2025-11-05,-0.04291490417692956,0.015032590387139777
2025-11-06,-0.054276446831887815,0.009888106967055332
2025-11-07,-0.05746686803399015,0.009080517402186183
2025-11-10,-0.0722429750785164,0.0006214684612790844
2025-11-11,-0.0758671991899077,0.0018312537766680403
2025-11-12,-0.08538329792697119,0.0032395510179952236
2025-11-13,-0.07944156457256168,-0.001099863684913549
2025-11-14,-0.06239558327143668,0.0042691702707859935
2025-11-17,-0.07187787090477793,-0.0038109133797931127
2025-11-18,-0.0488196490845223,-0.0006165260180229781
2025-11-19,-0.04106103191135013,0.003395147791882547
2025-11-20,-0.057888959243032834,-0.006307357687640791
